id,created_on,creator_id,topic_id
1,2014-02-06,46847,9
2,2012-01-19,36948,6
3,2010-06-18,56386,2
4,2015-10-30,56449,9
5,2015-11-04,93912,5
6,2011-05-01,42434,1
7,2015-11-22,64361,3
8,2014-02-26,6774,10
9,2015-10-30,42437,8
10,2015-05-27,72497,9
11,2011-12-12,43241,2
12,2011-12-04,67789,5
13,2015-03-09,51482,5
14,2013-07-21,18687,4
15,2014-02-03,47951,9
16,2015-12-17,98597,10
17,2015-10-17,76843,6
18,2012-06-02,32667,5
19,2013-03-08,33095,7
20,2009-06-10,204,4
21,2014-11-12,23982,3
22,2015-08-29,57894,2
23,2015-06-03,16578,4
24,2014-10-26,10022,6
25,2004-12-27,71645,5
26,2015-10-01,35410,6
27,2013-01-22,24530,7
28,2004-12-04,97094,10
29,2004-08-22,32369,4
30,2013-09-14,35366,3
31,2015-12-24,13609,7
32,2015-10-22,9395,5
33,2015-04-15,23111,2
34,2013-09-08,52185,9
35,2012-05-15,79293,6
36,2014-01-29,34500,7
37,2004-12-15,94367,10
38,2013-03-05,93938,8
39,2003-03-20,71846,5
40,2015-02-03,20164,8
41,2013-08-12,69207,5
42,2013-01-15,49582,6
43,2010-03-11,64702,10
44,2006-07-09,7022,2
45,2006-06-25,7315,8
46,2015-10-19,82777,3
47,2014-09-30,37919,2
48,2012-06-06,65073,6
49,2012-12-01,13816,7
50,2011-08-16,29715,5
51,2013-11-27,69768,2
52,2011-08-22,1836,9
53,2010-01-16,40940,5
54,2015-04-09,7084,5
55,2007-12-04,88088,7
56,2012-03-02,55922,4
57,2014-11-18,69688,7
58,2014-08-12,55047,9
59,2009-01-28,46929,10
60,2007-04-20,51655,8
61,2015-04-06,42661,1
62,2004-09-22,19258,2
63,2014-11-05,5206,8
64,2013-11-16,20610,7
65,2014-07-26,36162,2
66,2014-05-25,27500,6
67,2008-02-06,89580,2
68,2010-11-11,13928,5
69,2014-01-20,52251,8
70,2015-08-02,43606,1
71,2015-02-14,5884,7
72,2012-09-05,3030,3
73,2013-07-21,18787,7
74,2003-01-27,96514,1
75,2012-09-10,79375,8
76,2013-07-16,5176,2
77,2015-07-25,57707,10
78,2015-10-27,74286,5
79,2014-05-31,18096,10
80,2013-07-11,51146,2
81,2013-05-15,65064,9
82,2004-10-23,53002,6
83,2015-11-09,16941,3
84,2015-12-28,3485,4
85,2014-02-14,92592,8
86,2013-07-28,29461,9
87,2015-11-30,63990,4
88,2015-12-25,99540,8
89,2015-06-10,28765,2
90,2014-05-16,65955,1
91,2011-10-06,97340,6
92,2012-12-05,98690,4
93,2014-05-06,68680,3
94,2015-04-30,61401,10
95,2015-12-26,89971,1
