id,created_on,creator_id,topic
6,2011-05-01,42434,Fitness
61,2015-04-06,42661,Fitness
70,2015-08-02,43606,Fitness
74,2003-01-27,96514,Fitness
90,2014-05-16,65955,Fitness
95,2015-12-26,89971,Fitness
114,2011-02-28,19552,Fitness
126,2002-04-30,40899,Fitness
134,2011-10-31,46358,Fitness
143,2014-04-21,28274,Fitness
148,2012-04-07,85587,Fitness
154,2013-01-29,72016,Fitness
164,2015-01-30,30205,Fitness
177,2012-01-29,35491,Fitness
181,2012-04-15,34401,Fitness
185,2015-03-11,89544,Fitness
191,2015-01-06,82826,Fitness
205,2011-11-20,46646,Fitness
221,2013-08-04,48607,Fitness
224,2012-08-06,43007,Fitness
237,2010-10-28,14820,Fitness
251,2008-06-17,68170,Fitness
265,2010-06-23,42255,Fitness
270,2003-08-29,24104,Fitness
275,2015-09-17,32739,Fitness
297,2009-07-15,74674,Fitness
298,2012-04-04,26007,Fitness
299,2015-11-05,52570,Fitness
348,2015-07-02,6941,Fitness
353,2010-12-07,19903,Fitness
358,2014-07-31,7603,Fitness
359,2002-12-13,96894,Fitness
361,2011-01-12,56934,Fitness
363,2015-05-01,42170,Fitness
367,2010-09-29,60653,Fitness
374,2009-06-26,54260,Fitness
375,2013-10-25,46065,Fitness
376,2013-08-23,48215,Fitness
384,2014-01-07,15605,Fitness
388,2010-05-10,47507,Fitness
418,2015-02-08,66664,Fitness
426,2013-01-13,34071,Fitness
432,2014-02-24,2464,Fitness
455,2015-08-24,81756,Fitness
460,2007-01-09,15252,Fitness
461,2011-02-16,41906,Fitness
466,2011-09-22,22137,Fitness
481,2012-05-20,9546,Fitness
503,2015-01-29,90910,Fitness
507,2010-02-05,35580,Fitness
510,2009-08-15,95200,Fitness
516,2015-11-02,36253,Fitness
527,2015-12-30,4713,Fitness
529,2010-06-06,96415,Fitness
550,2014-01-16,24995,Fitness
553,2013-10-31,92884,Fitness
575,2012-11-07,14579,Fitness
602,2012-08-16,13257,Fitness
632,2014-07-22,19596,Fitness
637,2006-04-09,1219,Fitness
653,2012-02-16,39344,Fitness
721,2015-05-08,81947,Fitness
747,2015-08-18,95351,Fitness
748,2005-11-05,3616,Fitness
782,2015-04-07,70163,Fitness
788,2008-07-24,22304,Fitness
803,2011-03-26,82617,Fitness
809,2013-05-09,6431,Fitness
812,2014-11-29,19502,Fitness
828,2015-12-31,42069,Fitness
834,2015-06-10,97944,Fitness
838,2015-01-19,39541,Fitness
840,2008-03-01,78076,Fitness
841,2005-09-07,88798,Fitness
851,2013-12-23,64574,Fitness
853,2013-03-01,15036,Fitness
856,2011-07-24,86743,Fitness
860,2009-09-29,20170,Fitness
862,2010-08-03,4105,Fitness
873,2014-09-11,16759,Fitness
880,2002-07-18,36263,Fitness
888,2015-08-11,34921,Fitness
908,2011-07-26,19447,Fitness
928,2012-07-18,844,Fitness
930,2015-06-21,18926,Fitness
935,2014-07-04,82409,Fitness
944,2015-03-01,56273,Fitness
948,2011-10-28,68274,Fitness
961,2013-06-25,17475,Fitness
969,2014-09-24,8735,Fitness
970,2013-07-27,65253,Fitness
