id,createdOn,creator_id,topic_id
1,2011-10-10,63845,10
2,2013-03-06,75484,7
3,2015-01-03,85738,8
4,2012-11-02,99148,2
5,2013-09-28,81162,1
6,2015-12-11,1551,6
7,2002-06-23,27573,8
8,2010-04-27,34797,5
9,2015-04-30,25443,5
10,2006-09-25,97578,6
11,2015-02-17,95077,3
12,2004-02-17,66275,8
13,2007-08-21,40615,1
14,2009-09-08,27168,4
15,2014-02-29,4542,7
16,2015-08-04,11319,4
17,2014-08-06,3060,9
18,2014-07-12,82717,8
19,2009-07-18,57005,7
20,2015-02-21,49481,2
21,2013-03-30,71028,5
22,2011-05-08,36039,6
23,2015-08-30,96807,9
24,2011-03-18,34486,3
25,2014-01-28,11453,10
26,2013-05-23,59135,3
27,2015-03-03,62960,3
28,2014-11-09,67090,6
29,2013-04-23,42218,7
30,2005-01-30,3614,5
31,2015-05-11,1424,6
32,2003-05-20,42797,2
33,2013-11-06,79557,8
34,2010-02-01,39386,10
35,2008-11-10,23325,2
36,2012-07-03,46832,6
37,2013-05-05,76031,6
38,2014-02-20,86688,5
39,2012-04-07,23349,8
40,2013-12-22,42270,5
41,2015-06-26,20435,3
42,2015-03-16,37913,6
43,2012-07-04,98562,4
44,2014-12-24,31349,1
45,2015-02-29,34952,2
46,2014-08-26,42503,2
47,2013-10-02,17910,10
48,2015-08-01,95628,2
49,2007-08-27,23726,7
50,2014-04-24,10022,8
51,2004-03-28,95022,6
52,2015-02-29,94389,2
53,2015-05-21,49789,3
54,2012-04-04,19277,7
55,2015-09-01,817,9
56,2012-08-29,31289,2
57,2009-08-06,79803,4
58,2015-02-16,77357,9
59,2013-08-16,83344,8
60,2015-04-22,96256,8
61,2015-01-20,7508,2
62,2013-09-07,782,4
63,2012-10-05,4325,10
64,2015-05-13,6952,3
65,2015-02-16,61057,5
66,2012-05-30,19894,7
67,2011-10-04,95317,6
68,2013-09-20,8843,5
69,2010-06-17,3812,4
70,2011-04-29,22019,6
71,2014-12-24,71184,3
72,2004-01-21,20892,6
73,2014-10-10,80520,1
74,2015-10-07,45165,6
75,2015-08-14,82605,4
76,2014-11-21,27783,3
77,2015-09-19,37826,7
78,2009-10-01,84231,4
79,2015-09-11,3025,9
80,2006-08-28,63925,9
81,2011-04-25,31540,6
82,2012-06-13,69117,7
83,2015-08-05,4198,7
84,2014-03-04,76584,9
85,2014-05-22,46247,6
86,2005-09-30,6101,10
87,2014-10-20,96645,8
88,2015-06-12,28761,1
89,2015-07-31,95726,3
90,2015-11-16,44784,8
91,2010-01-30,43919,1
92,2011-08-02,63998,4
93,2012-12-25,96135,4
94,2015-07-27,34023,6
95,2005-05-05,66925,9
96,2015-03-21,64327,2
97,2012-06-01,21274,9
98,2005-08-06,84208,4
99,2009-09-13,39637,7
100,2013-08-16,74014,2
101,2014-05-04,40954,5
102,2012-07-15,22840,1
103,2010-08-11,20325,2
104,2015-03-15,48101,5
105,2012-12-26,82497,6
106,2013-08-22,31463,6
107,2015-01-25,16392,8
108,2015-01-06,24249,8
109,2015-12-07,70037,9
110,2015-12-29,82561,2
111,2015-02-25,43438,4
112,2015-11-16,54898,9
113,2013-10-01,77063,5
114,2014-04-12,26882,9
115,2005-08-18,75829,1
116,2013-07-17,79362,1
117,2006-06-26,26833,3
118,2006-01-14,66303,6
119,2008-10-12,12356,10
120,2005-12-16,8051,9
121,2012-07-01,21141,7
122,2015-11-07,76617,10
123,2009-02-23,14348,10
124,2014-11-21,82636,1
125,2010-09-05,55362,6
126,2011-03-19,80170,1
127,2013-09-01,25383,5
128,2011-06-11,25706,10
129,2014-06-07,14992,8
130,2011-02-27,91239,3
131,2013-10-05,76763,5
132,2013-11-19,15912,3
133,2015-06-09,90176,4
134,2014-03-30,54174,3
135,2015-05-31,41270,7
136,2004-07-15,79289,8
137,2007-06-14,70334,6
138,2015-05-30,38631,5
139,2015-01-25,47120,6
140,2011-06-05,92874,5
141,2004-10-04,5537,5
142,2014-10-05,74709,8
143,2009-09-02,1902,3
144,2015-09-14,84131,5
145,2010-07-06,62919,6
146,2015-01-05,41844,8
147,2015-05-05,19643,4
148,2008-08-14,54020,2
149,2015-04-16,84699,6
150,2005-12-07,97866,3
151,2014-04-12,45230,4
152,2014-10-03,77322,6
153,2013-10-24,74257,7
154,2010-08-18,31031,9
155,2015-06-09,13384,9
156,2014-05-12,75561,4
157,2007-06-23,30374,1
158,2011-04-08,14870,7
159,2012-12-31,78229,1
160,2009-10-03,50289,6
161,2013-10-17,29666,1
162,2010-05-16,54652,6
163,2015-04-25,49992,8
164,2014-09-02,24426,4
165,2015-03-01,70007,2
166,2012-11-21,99926,7
167,2005-12-15,61280,10
168,2010-08-06,43673,1
169,2015-03-24,3809,2
170,2015-09-08,13452,9
171,2015-05-23,61608,8
172,2011-11-17,5883,6
173,2010-06-16,35141,10
174,2015-09-15,69922,9
175,2015-05-19,58992,9
176,2013-02-05,33959,5
177,2014-04-28,26356,1
178,2014-10-18,2611,8
179,2009-12-09,61207,8
180,2013-09-08,45070,10
181,2002-10-21,93959,2
182,2015-04-13,73398,5
183,2009-10-27,23618,6
184,2014-01-30,61244,7
185,2015-12-24,68065,5
186,2014-02-20,47259,4
187,2009-02-09,96803,8
188,2015-12-26,65622,1
189,2015-09-28,41746,8
190,2011-11-30,40428,7
191,2015-05-09,53204,2
192,2014-08-01,98362,9
193,2012-02-17,96209,2
194,2009-11-26,74926,1
195,2010-10-19,69307,8
196,2009-08-04,6372,9
197,2011-11-23,31838,9
198,2014-10-19,72127,10
199,2011-05-19,1638,5
200,2015-12-03,60133,3
201,2015-04-20,6984,8
202,2014-06-21,39383,2
203,2003-01-17,37038,4
204,2007-12-16,97484,4
205,2007-01-08,19394,3
206,2015-02-11,3657,3
