id,created_on,creator_id,topic_id
1,2008-08-18,3805,1
2,2012-07-27,7471,10
3,2015-10-04,8818,6
4,2015-02-21,5379,4
5,2014-11-22,928,4
6,2011-08-11,9814,8
7,2015-11-16,1875,8
8,2012-05-13,7545,4
9,2013-07-22,2863,8
10,2014-02-10,713,3
11,2012-05-07,2228,5
12,2015-04-06,805,8
13,2009-05-06,480,5
14,2015-11-27,77,1
15,2015-07-28,1902,3
16,2015-11-10,9574,8
17,2013-11-01,9676,8
18,2014-07-14,4698,7
19,2011-11-22,3962,1
20,2013-08-06,7692,8
21,2013-11-18,4398,8
22,2013-10-12,8793,3
23,2010-07-19,4549,8
24,2015-10-09,6250,8
25,2013-05-04,6084,3
26,2009-06-06,8774,6
27,2015-01-25,4620,9
28,2001-01-16,372,6
29,2011-08-16,8780,10
30,2015-06-08,1726,9
31,2009-04-28,3744,8
32,2005-08-23,6418,6
33,2015-02-06,9624,9
34,2013-05-23,3746,8
35,2010-11-28,7363,7
36,2015-03-11,5083,9
37,2012-05-06,9514,10
38,2015-11-18,4914,5
39,2012-08-19,2505,5
40,2015-05-20,538,3
41,2014-11-30,8408,9
42,2011-03-12,3267,1
43,2011-07-12,3992,6
44,2015-07-17,252,2
45,2015-09-19,7320,10
46,2015-08-13,6345,10
47,2003-03-13,1639,4
48,2014-06-22,320,3
49,2013-06-03,7892,8
50,2008-02-26,7437,4
51,2015-08-16,6578,10
52,2012-01-22,2309,9
53,2012-09-14,7399,4
54,2015-05-24,1031,8
55,2012-10-03,4516,1
56,2015-11-10,3758,6
57,2009-01-15,9806,6
58,2014-05-31,1412,1
59,2015-03-02,4538,1
60,2009-08-11,305,3
61,2013-02-11,3064,1
62,2006-08-10,2193,3
63,2006-12-18,5254,8
64,2011-10-14,9315,7
65,2014-12-05,2918,8
66,2015-06-22,6381,1
67,2008-03-25,7130,4
68,2012-02-14,8285,1
69,2014-05-13,7547,5
70,2009-10-25,9050,9
71,2008-08-20,376,6
72,2008-12-15,8634,1
73,2008-08-22,444,2
74,2012-01-18,5213,5
75,2010-04-30,4152,6
76,2015-05-07,9574,7
77,2014-02-10,4240,4
78,2012-01-16,2937,1
79,2014-05-21,9186,4
80,2014-04-06,9712,2
81,2015-12-16,9248,6
82,2015-12-31,8055,6
83,2006-08-20,3839,9
84,2012-10-05,8328,5
85,2002-09-04,568,1
86,2012-06-01,1217,2
87,2015-09-21,2987,7
88,2014-11-12,3505,5
89,2014-12-15,1108,3
90,2001-11-30,258,4
91,2015-11-29,1462,6
92,2012-10-02,4351,10
93,2002-01-19,1091,4
94,2011-12-22,6455,3
95,2015-04-30,3886,1
96,2011-06-11,3242,2
97,2012-09-13,183,4
98,2011-10-19,3488,10
99,2008-07-09,8901,8
100,2013-07-12,3625,2
101,2013-06-01,2403,10
102,2015-11-09,3647,6
103,2011-11-19,6977,2
104,2012-01-03,3959,10
105,2014-12-06,5275,2
106,2015-08-01,343,10
107,2015-10-26,9334,8
108,2012-06-28,3569,8
109,2010-01-10,3590,5
110,2007-01-28,3149,9
111,2010-09-07,4734,9
112,2010-07-25,3222,9
113,2013-07-07,5535,1
114,2015-05-30,8107,8
115,2014-02-28,7345,10
116,2010-04-25,9765,10
117,2009-06-27,9231,9
118,2008-01-25,3943,4
119,2013-10-11,4748,9
120,2010-03-06,8977,6
121,2013-11-06,7204,9
122,2014-11-25,4464,4
123,2009-01-08,2334,2
124,2015-10-08,1456,1
125,2010-10-07,8061,1
126,2013-02-20,4673,8
127,2006-12-13,4166,3
128,2014-01-30,2487,9
129,2014-09-01,7403,4
130,2010-11-11,2907,9
131,2011-11-23,870,4
132,2014-11-21,4383,10
133,2013-12-05,6674,4
134,2012-08-23,6479,7
135,2009-12-25,1906,2
136,2004-02-23,707,2
137,2010-01-09,8021,8
138,2012-08-03,3153,1
139,2006-02-26,6049,7
140,2010-06-19,2799,8
141,2013-02-11,4412,8
142,2015-12-10,7574,3
143,2015-12-30,1258,6
144,2014-12-16,9522,6
145,2015-05-07,4721,4
146,2006-01-31,6134,3
147,2011-08-02,9192,1
148,2015-10-07,1980,5
149,2015-11-07,6862,9
150,2015-12-27,6346,8
151,2014-07-26,6455,1
152,2014-03-08,4160,6
153,2015-10-22,8768,4
154,2014-12-31,5422,4
155,2013-12-21,1316,10
156,2015-12-12,1955,1
157,2013-08-08,4039,4
158,2012-08-08,2064,3
159,2009-08-25,6943,1
160,2014-08-22,1770,5
161,2014-02-02,275,9
162,2015-08-21,7166,1
163,2007-06-27,7884,7
164,2004-11-08,4208,5
165,2010-01-10,6280,7
166,2015-03-02,28,5
167,2015-06-13,5485,6
168,2013-11-23,8781,4
169,2003-03-02,7802,5
170,2015-10-16,9643,2
171,2009-04-21,1257,3
172,2013-08-24,8927,6
173,2014-05-14,2929,8
174,2008-09-11,8290,9
175,2014-01-12,328,3
