person_id,group_id
8427,911
8428,881
4201,841
6313,906
8428,877
8427,908
2108,194
8427,910
4204,760
6315,855
6327,489
8446,340
6320,705
8446,336
4215,427
8434,708
6336,212
6316,832
2108,217
2096,589
4202,840
4215,436
6321,690
8434,729
8427,939
4219,322
4202,846
8445,384
2108,229
8445,393
8446,363
4215,450
2098,543
4202,856
4219,330
8449,275
4226,119
2105,335
2108,252
4204,815
8446,388
4215,471
6329,474
4201,905
6320,752
4215,477
2101,475
6321,725
6320,763
6320,762
2105,356
4219,360
4209,675
8433,805
6324,646
4215,487
6320,769
2108,275
4224,216
4215,495
6342,99
2107,314
6329,502
8452,232
2101,501
4215,503
6320,790
6327,577
8436,737
8428,985
2101,511
6324,668
6318,854
4202,915
6328,549
8446,431
2088,924
8445,464
4215,530
8458,72
8445,469
6346,7
8446,441
6328,570
4215,535
6315,972
6346,16
6345,46
2105,415
6327,609
4226,203
2092,825
6329,551
6315,985
8460,23
8445,499
4215,551
4223,308
2096,712
2110,281
4209,751
6346,38
8459,70
2113,193
8461,13
2105,446
6346,48
8446,491
8446,492
4209,761
8446,486
6329,583
2092,859
6320,867
2092,862
2108,369
2092,864
6336,383
6332,507
6320,883
8434,887
4212,692
2093,848
8452,337
6320,890
2092,887
2108,393
8460,85
8436,829
2091,919
6346,87
4215,611
6320,893
4219,493
6327,682
8440,716
4209,803
6,23
2104,533
6330,601
4231,134
2108,412
6346,107
6346,106
8459,140
4215,636
6329,637
8434,917
2121,18
6332,551
6320,923
4204,981
8461,99
6320,928
4204,993
4215,656
6329,663
4215,665
8447,548
8446,581
6346,145
8445,607
8434,948
6345,173
8447,546
8446,577
6320,955
2121,49
6346,146
6346,150
6328,708
6320,956
8465,6
2108,460
6327,745
8446,591
8447,561
6329,691
6320,968
2,222
8452,424
8459,208
4226,354
6334,547
6320,986
2108,487
8459,211
6329,711
8446,617
6320,988
2103,650
6328,751
6320,999
6320,997
6336,511
8466,22
8459,240
4215,730
2120,141
4215,733
2099,792
2108,512
6336,518
2103,671
2122,85
6328,776
6328,783
10,31
6338,472
6332,658
2121,130
6346,228
6325,879
2108,537
2112,415
8446,664
6329,758
2104,666
8446,670
4232,237
4224,485
6328,802
2104,675
4237,90
6343,346
5,215
8445,723
4240,1
6345,281
2113,406
6354,13
2105,658
6333,664
6335,606
4219,664
8467,58
6329,800
6346,272
6327,866
2107,616
6330,781
4240,35
6346,284
6349,190
2096,962
2108,595
8469,8
2108,594
4241,11
6336,602
6336,600
8446,727
4215,825
4241,22
6350,185
4215,834
8466,128
2104,739
6327,902
2122,185
6347,279
4232,314
4211,965
6327,905
4238,132
7,222
4241,43
6346,324
4226,506
2120,261
2107,664
4225,544
4240,77
6346,326
8447,739
8466,152
6336,640
6330,826
4215,861
6330,832
8465,190
4231,368
2122,214
6327,933
2104,775
6332,777
4237,189
6332,781
4237,194
6346,355
6336,665
6333,761
6332,798
6346,363
8460,371
2128,52
2105,765
8472,4
2125,152
2121,275
8469,94
8468,127
7,279
2120,313
8461,354
4241,104
8446,816
8445,847
8467,175
6346,389
6336,699
6351,233
6346,387
2104,821
2122,262
6335,737
6346,395
6328,959
6328,958
2118,398
6346,402
6346,407
2105,809
17,3
6356,101
7,313
8454,605
4226,600
2108,721
17,7
8472,42
4231,443
4215,940
4238,231
2108,729
17,14
17,16
4215,948
6346,429
6346,427
17,21
8452,676
6345,462
8447,833
6329,958
8457,533
8474,8
6329,968
2120,378
2110,693
8446,880
17,40
7,350
2132,14
8446,893
2132,26
8452,711
8465,319
8446,909
6329,993
2133,2
6329,1000
6336,782
17,65
6346,477
2132,46
2122,356
8446,930
8472,125
6342,616
8465,343
6349,397
6334,862
2132,56
9,337
8467,288
8452,748
8455,666
6332,951
17,106
17,107
6345,546
8469,244
2132,81
8472,144
6332,955
2118,514
2121,423
6333,927
4238,334
4237,366
2132,89
4226,712
6361,63
6346,528
8465,371
4233,494
6336,836
8446,970
6346,532
8472,166
17,124
4233,498
8445,997
2107,871
8447,936
4244,160
6331,1000
6356,224
4238,353
2122,413
2105,939
2132,107
4241,267
8446,987
4,543
8446,983
2122,425
17,144
8455,717
17,148
8469,280
6349,465
17,153
6356,254
6346,562
8454,753
6346,573
4241,295
4221,915
4244,203
8472,202
8470,264
8472,212
6346,580
8473,183
4238,390
3,605
8474,146
4238,396
6363,57
6343,680
4249,58
8467,378
8466,409
6346,586
8473,187
8473,188
2130,216
9,433
2132,156
6356,291
6356,290
4241,320
2133,131
8460,599
4231,633
4244,231
17,195
2108,911
6358,237
4231,638
2132,170
2132,175
2132,176
6358,249
18,185
2122,496
6361,164
4231,658
17,221
8478,72
2132,195
4226,815
2128,322
4232,638
6346,641
6346,644
6356,339
2121,549
4244,272
2128,337
8472,285
2,707
6336,961
8460,654
6353,456
6346,673
2108,976
6356,361
4244,297
6346,670
8466,494
2132,241
2125,459
6346,684
8474,250
15,339
8474,252
6356,383
2108,997
2125,469
4238,502
17,284
4235,596
4249,167
4254,10
6346,694
4254,17
17,290
2132,263
6346,705
4241,428
8483,2
6367,62
2122,582
6343,805
4249,181
6362,215
7,613
17,306
17,307
6346,715
17,309
4242,409
2128,408
6346,729
4250,169
6346,728
4244,353
8465,582
2132,299
6356,431
2121,645
17,336
4244,374
8479,164
6346,747
6,681
4226,931
4249,223
17,341
8480,130
2132,315
2120,686
2121,658
2118,751
6369,43
6346,754
8473,353
8473,354
8466,571
4244,384
4244,391
4251,171
2122,637
8474,337
6369,55
4241,488
8483,64
8472,405
22,208
6369,62
8471,433
4249,246
4226,959
2132,340
6364,221
6346,778
6346,784
4226,966
8474,349
2125,565
4241,505
8458,857
2132,355
4244,422
4254,113
17,387
2125,579
2123,643
17,395
8480,187
27,93
9,651
4258,3
2132,377
8469,533
6369,103
6346,816
8467,597
4249,286
8467,598
6363,293
6346,820
6346,819
4244,445
8468,579
4238,636
4249,296
6364,269
6363,300
4258,19
4258,24
6364,275
6346,833
8483,116
6363,305
2125,609
2122,706
4249,306
6346,841
4241,557
4237,681
2122,713
6343,932
4258,36
2122,715
4249,316
2144,35
2118,840
6343,935
4253,196
4258,38
2132,411
4258,45
2132,412
2125,633
8471,514
6369,147
6357,518
24,235
2133,391
8467,650
8474,426
6364,306
4254,179
6,797
17,460
8480,249
31,33
2144,67
8466,697
31,36
2132,445
2121,785
8460,889
31,41
17,477
8466,699
2132,450
6346,886
2145,50
2125,672
8467,681
2120,826
18,454
4254,213
6362,399
4258,87
6345,932
9,741
6356,594
2146,32
4258,95
2132,466
17,496
8472,540
28,159
6369,193
10,717
8472,536
4240,661
8487,83
28,166
6364,356
4238,727
2125,700
2122,793
2125,699
2121,823
8474,494
6364,366
4261,22
8483,218
4244,549
6345,959
4238,742
6346,930
4249,408
8467,717
2121,840
31,94
17,528
6354,693
2123,780
4249,412
8474,513
17,532
8464,819
2132,509
8461,921
6374,79
4249,418
8472,583
8470,645
4259,111
4238,768
9,793
2146,85
8491,2
2128,642
8470,646
4237,804
8461,926
8460,957
2121,864
2133,494
2132,524
2147,62
8472,599
2132,528
4260,103
8491,17
4258,162
8465,824
4258,167
8472,603
34,43
6364,422
4244,607
2132,545
6351,828
6346,989
4258,181
4238,799
4251,401
2132,555
4241,710
6364,436
8482,314
4244,625
34,67
4261,104
2132,566
7,906
17,597
8491,44
6375,108
8466,820
2121,912
4263,50
6364,454
6356,700
36,18
4258,206
8472,642
2132,578
2128,702
4261,119
4249,492
2132,580
4244,647
6356,712
2122,899
4249,500
31,185
2132,590
36,33
6364,478
8469,757
29,258
4241,760
34,109
8492,52
31,204
6358,676
4249,517
8474,612
17,640
10,857
6375,158
4253,401
2141,342
2144,248
8493,39
8471,731
8467,856
8467,857
2121,972
8472,698
6351,920
6367,428
8466,904
17,677
4258,281
8480,465
8472,714
2152,30
2152,33
2151,64
6379,70
4258,285
4259,251
17,683
17,684
4241,815
4252,475
8495,20
6378,108
8466,919
2133,632
2152,42
2152,44
36,106
2125,888
4238,918
8491,154
17,701
4258,302
4267,29
2132,677
2152,59
4241,833
4258,307
8472,744
2145,280
4253,465
4249,589
2132,683
6364,560
2133,654
2132,684
33,219
8480,510
8472,758
4258,320
4254,442
2122,1000
4258,325
2132,694
4237,979
36,138
17,727
4267,48
17,728
6356,831
2152,80
17,731
8468,898
4258,336
8474,708
4241,862
4265,127
29,370
6381,66
