id1,id2,friended_on
2,49,2015-09-04
2,55,2015-10-27
1,95,2015-12-18
2,77,2015-03-05
1,118,2014-08-04
4,25,2011-01-04
4,30,2014-11-28
2,102,2015-12-20
1,148,2012-03-23
4,59,2015-01-03
1,154,2012-05-29
2,126,2015-05-13
1,158,2014-06-02
5,36,2015-11-19
1,167,2011-07-16
1,169,2014-04-07
3,119,2015-02-20
1,182,2013-05-20
3,123,2015-10-25
4,93,2012-04-25
4,98,2013-06-24
4,99,2009-05-31
1,198,2015-10-03
4,128,2012-03-05
2,191,2015-04-25
3,162,2015-04-03
5,115,2011-07-28
2,213,2015-09-10
8,32,2015-06-15
1,253,2012-08-30
8,36,2015-11-17
6,102,2012-08-03
4,177,2015-12-16
9,40,2014-08-02
8,75,2014-01-17
7,106,2015-12-29
6,144,2014-06-15
5,175,2014-07-10
6,157,2014-07-12
7,132,2015-12-26
6,165,2009-11-21
1,325,2015-12-24
3,266,2015-09-06
2,302,2015-08-25
1,335,2015-11-12
3,277,2015-04-18
8,123,2009-02-02
2,310,2015-02-14
2,316,2015-12-07
4,256,2015-08-23
5,226,2015-08-18
2,320,2015-06-13
10,85,2015-12-23
8,148,2009-07-03
2,339,2015-08-08
2,340,2015-10-23
6,218,2014-04-15
10,99,2010-04-20
11,70,2012-10-20
7,201,2015-12-31
12,49,2014-05-21
5,266,2011-12-27
13,22,2011-06-18
12,54,2015-08-07
5,274,2013-06-27
6,244,2015-12-13
12,59,2015-02-23
2,369,2015-10-31
13,30,2013-10-06
13,31,2015-04-26
9,155,2012-03-12
3,341,2015-12-27
12,63,2014-08-22
3,344,2015-09-17
9,158,2015-12-27
6,254,2012-07-04
1,410,2008-03-17
12,73,2015-10-02
1,414,2012-02-03
12,75,2014-07-16
1,422,2014-06-24
5,298,2012-05-01
2,392,2015-02-23
8,208,2015-12-24
9,178,2014-12-13
13,55,2012-11-24
11,118,2013-08-23
13,56,2012-06-12
2,399,2015-02-22
6,276,2011-01-13
10,154,2007-06-29
13,63,2014-08-05
1,435,2010-03-03
10,156,2015-11-26
3,374,2015-05-29
12,99,2015-12-14
4,353,2015-02-02
13,74,2007-12-15
12,108,2015-07-14
1,451,2012-06-14
3,391,2015-07-17
