id,created_on,creator_id,topic
28,2011-02-08,719,Fitness
33,2013-09-22,73,Fitness
41,2006-10-13,167,Fitness
51,2015-10-20,98,Fitness
55,2013-01-09,17,Fitness
58,2013-07-29,793,Fitness
66,2006-07-02,771,Fitness
70,2014-10-29,900,Fitness
71,2015-11-03,909,Fitness
76,2010-08-20,643,Fitness
9,2015-03-09,417,Politics
11,2010-11-06,782,Politics
18,2015-11-13,732,Politics
27,2015-01-30,265,Politics
40,2010-03-30,240,Politics
42,2008-04-16,616,Politics
56,2012-02-08,993,Politics
79,2010-03-19,433,Politics
5,2001-11-18,193,Food
23,2015-12-18,7,Food
31,2011-12-19,657,Food
32,2015-05-01,74,Food
39,2013-09-21,382,Food
48,2002-11-11,884,Food
49,2014-03-20,831,Food
50,2011-06-15,491,Food
84,2015-04-05,508,Food
95,2015-11-06,412,Food
97,2015-12-17,230,Food
99,2014-12-23,491,Food
100,2015-12-24,794,Food
6,2015-03-22,998,Movies
7,2004-01-30,913,Movies
12,2015-02-18,532,Movies
20,2010-04-12,408,Movies
29,2015-10-15,96,Movies
46,2015-08-28,288,Movies
53,2010-09-19,154,Movies
91,2014-12-18,456,Movies
94,2002-04-26,693,Movies
1,2015-07-01,521,TV
24,2012-04-16,119,TV
36,2006-10-12,957,TV
73,2015-11-26,514,TV
81,2009-06-15,569,TV
8,2015-04-20,268,Sports
14,2007-03-07,190,Sports
17,2007-12-05,985,Sports
21,2014-11-09,394,Sports
22,2013-10-20,902,Sports
25,2014-06-11,375,Sports
47,2010-09-22,916,Sports
54,2007-10-18,397,Sports
60,2007-01-20,919,Sports
61,2008-04-29,23,Sports
62,2009-09-19,709,Sports
63,2012-07-12,293,Sports
65,2015-06-11,910,Sports
69,2012-08-06,665,Sports
80,2011-02-27,494,Sports
86,2015-09-30,557,Sports
93,2012-10-03,678,Sports
35,2011-10-07,503,Music
43,2012-02-28,403,Music
44,2013-12-03,756,Music
68,2015-05-05,183,Music
72,2014-02-25,912,Music
82,2011-03-24,912,Music
87,2015-11-06,438,Music
98,2012-11-23,150,Music
2,2015-07-28,653,Literature
4,2015-08-16,2,Literature
10,2013-09-24,330,Literature
13,2010-04-03,770,Literature
16,2011-04-07,222,Literature
19,2011-06-06,451,Literature
34,2012-11-26,205,Literature
37,2010-11-08,785,Literature
52,2014-07-31,462,Literature
64,2012-06-18,161,Literature
77,2014-03-24,824,Literature
83,2015-07-30,80,Literature
88,2015-10-14,143,Literature
92,2014-05-16,766,Literature
3,2015-12-11,539,Cats
15,2009-02-19,489,Cats
30,2013-01-07,663,Cats
38,2010-04-13,940,Cats
57,2010-06-25,823,Cats
67,2011-09-18,298,Cats
75,2015-07-17,662,Cats
89,2015-12-31,876,Cats
26,2015-12-20,695,Games
45,2014-10-30,565,Games
59,2014-02-16,45,Games
74,2011-02-04,141,Games
78,2015-03-21,139,Games
85,2015-08-08,283,Games
90,2013-07-20,688,Games
96,2014-11-26,717,Games
