person_id,post_id
2,73
3,65
5,39
2,152
2,157
3,128
4,99
7,8
3,156
8,14
7,72
8,99
2,332
3,323
4,321
6,311
16,14
1,495
17,37
1,559
6,404
9,353
1,637
16,189
3,599
8,444
4,573
17,181
10,404
1,703
5,579
14,323
11,419
23,53
9,495
1,756
2,725
14,354
25,14
21,141
5,638
25,53
9,564
24,99
2,782
8,600
6,672
18,305
10,566
19,293
5,755
16,421
21,271
5,768
24,181
29,36
1,935
20,354
2,914
5,822
9,720
20,380
31,39
23,296
9,736
16,522
22,338
12,663
22,354
33,14
28,172
29,147
1,1023
24,311
11,726
21,416
3,989
17,566
21,448
35,29
4,1006
23,419
18,575
24,406
3,1062
37,14
4,1052
17,649
37,35
10,874
14,752
36,77
22,520
31,244
7,996
12,845
12,856
26,422
32,238
1,1205
32,250
29,347
16,754
22,568
34,196
8,1006
39,53
32,272
26,463
22,590
29,382
13,886
31,337
35,213
9,1020
26,503
37,166
13,913
7,1105
21,671
20,703
18,768
12,956
29,431
39,134
12,973
43,14
25,573
38,172
3,1258
31,395
11,1017
32,366
23,649
25,590
37,226
23,665
44,14
28,516
37,238
28,529
42,101
3,1316
19,822
34,360
26,618
31,474
14,1007
18,888
28,590
34,407
21,816
33,444
18,910
40,230
12,1102
19,886
39,268
32,486
47,24
9,1221
9,1230
3,1422
17,988
29,616
25,755
1,1504
49,24
37,406
2,1494
12,1202
25,799
41,311
46,156
19,1006
50,45
35,511
22,918
14,1169
18,1045
12,1234
41,338
33,590
39,406
41,354
23,913
52,16
7,1415
18,1081
1,1611
36,535
7,1444
2,1607
7,1460
53,35
24,935
2,1618
52,71
21,1035
46,264
42,390
4,1574
29,799
16,1206
29,817
12,1354
48,241
34,680
21,1092
50,194
4,1647
26,969
4,1653
43,444
33,755
9,1504
50,233
29,886
11,1447
37,647
9,1520
39,590
3,1711
44,444
40,571
21,1169
33,799
54,148
20,1205
21,1192
56,125
29,965
55,159
40,633
23,1162
14,1443
48,396
43,552
20,1270
8,1653
9,1624
56,170
4,1783
55,226
24,1190
44,573
12,1576
45,561
52,345
12,1592
54,301
51,404
32,1004
23,1284
21,1352
51,424
57,241
42,711
54,339
49,495
18,1460
42,716
2,1959
57,259
47,573
35,948
29,1135
52,424
38,871
62,127
13,1652
6,1874
22,1381
22,1382
6,1898
3,1992
57,323
17,1567
1,2070
42,799
34,1052
57,340
21,1463
61,234
24,1382
3,2039
61,244
57,370
4,2018
8,1898
16,1653
60,293
35,1076
19,1574
44,799
14,1741
21,1525
4,2056
19,1593
42,881
59,354
70,14
49,666
42,886
32,1199
2,2130
32,1202
50,644
29,1296
46,770
52,590
6,2018
16,1715
21,1567
40,978
61,331
22,1542
10,1916
11,1895
66,192
20,1622
63,296
5,2096
51,672
34,1200
1,2225
6,2090
42,982
63,331
42,985
57,524
67,218
9,2018
8,2056
22,1622
60,444
74,14
67,232
35,1230
74,24
42,1019
42,1020
53,683
14,1895
12,1960
36,1233
51,768
11,2012
3,2267
46,935
41,1091
68,255
44,1006
71,173
7,2158
23,1666
41,1108
66,333
40,1142
50,837
55,683
51,809
62,474
46,973
72,172
7,2190
55,702
77,24
23,1702
63,463
18,1860
74,124
41,1148
72,187
72,190
74,134
3,2355
1,2425
24,1715
16,1972
63,517
20,1852
72,241
23,1781
12,2123
61,604
67,420
58,702
56,768
9,2226
32,1514
