id,created_on,creator_id,content_id
1,2015-06-29,306,1
2,2013-01-29,450,3
3,2015-07-03,769,3
4,2013-12-01,900,4
5,2008-05-29,994,2
6,2013-01-14,855,1
7,2015-12-18,288,1
8,2015-04-07,416,2
9,2010-11-19,192,1
10,2009-10-15,213,3
11,2013-04-14,547,1
12,2005-07-29,260,4
13,2015-10-27,268,2
14,2000-06-28,874,1
15,2015-05-30,597,4
16,2015-01-14,560,1
17,2011-04-30,172,2
18,2011-11-28,114,1
19,2014-11-18,675,2
20,2011-04-21,618,4
21,2015-03-16,653,4
22,2014-10-31,169,4
23,2012-04-25,172,2
24,2001-08-28,525,3
25,2015-10-28,528,2
26,2015-09-11,982,4
27,2014-11-25,106,4
28,2011-03-05,307,2
29,2006-09-10,574,4
30,2015-12-14,66,3
31,2008-12-04,103,1
32,2015-11-25,820,3
33,2013-02-07,660,1
34,2015-08-03,694,1
35,2009-08-04,408,4
36,2005-09-07,868,2
37,2005-12-18,872,4
38,2015-05-16,304,1
39,2005-11-09,885,4
40,2014-09-10,952,2
41,2014-02-14,89,1
42,2015-12-11,838,1
43,2011-07-24,246,2
44,2015-12-05,281,2
45,2012-07-02,890,1
46,2015-10-16,496,1
47,2003-06-16,959,3
48,2015-09-27,999,3
49,2015-08-31,983,2
50,2015-12-30,458,2
51,2014-11-21,444,1
52,2013-10-15,654,3
53,2001-05-29,741,2
54,2011-03-11,751,3
55,2015-08-12,557,3
56,2012-07-15,244,2
57,2015-01-13,918,1
58,2014-11-08,63,2
59,2015-04-18,179,4
60,2015-04-23,680,2
61,2009-12-23,115,4
62,2012-10-04,977,2
63,2014-01-10,568,2
64,2015-12-22,476,1
65,2010-10-16,487,3
66,2013-09-25,809,1
67,2011-11-03,107,3
68,2011-12-18,492,1
69,2014-09-01,138,2
70,2011-01-20,979,3
71,2013-12-22,529,2
72,2015-11-01,100,1
73,2014-01-16,523,2
74,2015-01-15,781,4
75,2014-05-12,756,3
76,2015-05-24,646,2
77,2014-07-12,141,1
78,2015-07-23,456,3
79,2011-07-09,792,3
80,2015-01-05,529,2
81,2015-10-27,418,1
82,2013-05-02,343,1
83,2008-09-06,984,2
84,2012-02-27,914,4
85,2015-07-15,570,1
86,2015-10-11,623,4
87,2011-06-28,677,4
88,2007-08-03,710,3
89,2015-09-03,37,2
90,2015-04-25,197,2
91,2015-08-11,407,2
92,2015-08-11,565,1
93,2009-10-01,940,3
94,2015-07-30,874,1
95,2009-09-09,369,2
96,2014-02-11,265,1
97,2011-05-21,99,1
98,2013-12-16,530,4
99,2001-11-15,617,3
100,2013-09-28,452,1
101,2005-09-03,146,4
102,2015-06-04,479,4
103,2012-03-01,133,2
104,2007-11-08,261,3
105,2014-12-27,63,4
106,2013-05-01,650,1
107,2015-11-12,382,4
108,2010-11-11,299,4
109,2012-05-02,812,3
110,2015-09-11,379,4
111,2015-06-04,24,4
112,2015-04-19,279,1
113,2015-04-02,495,2
114,2015-02-11,907,3
115,2015-09-26,816,4
116,2014-08-23,798,4
117,2011-04-24,836,1
118,2015-06-29,513,2
119,2014-03-08,484,3
120,2012-04-20,29,3
121,2013-05-07,981,4
122,2015-04-05,289,2
